Article,Category
Dutch vote in tight election with far right set for gains,World
Deadly green mamba snake on the loose in Dutch city,World
Who are the Palestinian prisoners on Israel’s list for potential release?,World
What do we know about the Israel-Hamas hostage deal?,World
Families of Israeli hostages face an ‘excruciating’ wait for news after Israel and Hamas strike deal,World
A UAE company has secured African land the size of the UK for controversial carbon offset projects,World
Israel and Hamas agree to breakthrough deal on hostage release and four-day truce,World
This beer is made from recycled shower water,World
Indian rescuers dig past halfway mark in efforts to reach trapped workers,World
‘I felt that Africans could also be part of this’: Meet the Kenyan stargazer inspiring children to look to the sky,World
North Korea claims to have put spy satellite into orbit. Analysts say that could make its military stronger,World
Israel considers potential hostage deal with Hamas,World
Frustrations spill over in Israel as hostage families demand answers from Netanyahu,World
"Exclusive: ‘Act now’ to keep US competitive in space race, senators say",World
SpaceX’s explosive test flight achieved key milestones. But there is still a long way to go,World
Majority of Palestinian prisoners eligible for release are male teens,World
Retired general on how Israel and Hamas will use the truce to their advantage,World
2-year-old dies after boat capsizes near Lampedusa,World
Video shows Israeli soldiers forcefully arresting Palestinian man in his home,World
"Iceland declares state of emergency, evacuates residents over threat of volcanic eruption",World
"More than 180,000 demonstrators march in France against antisemitism",World
Circus lion captured after hours on the loose near Rome,World
‘Be prepared for all outcomes’: Inside the saga of a supervolcano that’s waking up,World
British couple died on holiday after adjoining room fumigated for bed bugs,World
Ukraine claims it hit two Russian landing craft in Crimea with sea drones,World
"‘Hope is hard to come by’: In the Red Sea resort of Eilat, Israeli survivors from October 7 face a new threat",World
What we know about what Israel says it has found at Al-Shifa,World
CNN visited the exposed tunnel shaft in the Al-Shifa hospital compound. Here’s what we saw,World
"One evacuated from northern Gaza, the other didn’t. They’re in the same hospital now",World
‘Never going back:’ Israelis evacuated from border town with Lebanon fear war with Hezbollah,World
Five countries ask International Criminal Court to investigate the situation in Palestinian territories,World
The week in 35 photos,World
The Kenyan stargazer inspiring children to look to the sky,World
In pictures: Israel at war with Hamas,World
Green construction innovations,World
Liberia’s President George Weah concedes victory after tight run-off election,World
‘They called me a slave’: Witness testimony exposes alleged RSF-led campaign to enslave men and women in Sudan,World
Disturbing videos emerge showing atrocities against African ethnic groups in Darfur,World
Mass visa cancellations at Saudi airport puts relations with Nigeria in spotlight,World
"As Argentina heads to the polls, will a plan to ditch the peso for the dollar be a vote-winner?",World
Mexico’s first openly non-binary magistrate and prominent LGBTQ activist found dead,World
Protests against copper mine deal turn deadly in Panama,World
Pablo Escobar’s ‘cocaine hippos’ face Colombian government cull,World
Australian prime minister accuses Chinese navy of ‘dangerous’ conduct,World
Civilians caught in the crossfire as fighting escalates between Myanmar military and armed group,World
"Renewed fighting in Myanmar has displaced 26,000 people since Monday, UN says",World
This conservationist lost his eye in a tiger attack — but he’s still fighting to protect the king of the jungle,World
The best Christmas markets taking place around the world in 2023,World
First-ever World of Frozen opens at Hong Kong Disneyland,World
American Airlines reviewing viral video showing wheelchair crashing onto airport tarmac,World
The history of Macy’s Thanksgiving Parade: 5 facts you may not know,World
TSA rules: What’s allowed in — and prohibited from — your carry-on bag this holiday season,World
Look of the week: Emily Ratajkowski and the ultra-cinched puffer,World
Remember when Angelina Jolie’s thigh-high slit dress kickstarted the ‘Angelina Effect’?,World
Animatronic model of E.T.’s head expected to fetch up to $1 million at auction,World
The Iranian artist using painting to honor her lost homeland,World
Meet the Thai celebrities — and ‘boys love’ stars — becoming fashion’s newest power players,World
Disruptive Thanksgiving-week storm affecting much of the East as holiday travel rush begins,World
"Several tornadoes reported as dangerous storms fire up, threatening 20 million from Texas to the Southeast",World
"Significant Thanksgiving-week storm will disrupt travel with rain, snow and severe storms",World
Snow and rain to bring weather woes to millions of Thanksgiving travelers,World
Survivors of the ‘Nakba’ in Lebanon speak up about war in Gaza,World
Family member of hostage reacts to hostage release deal,World
‘My whole life is ruined’: Children describe shattered dreams after injuries in Gaza,World
"November 21, 2023 Israel-Hamas war",World
Ret. US general talks about the potential military impact of a four-day pause,World
Family member of hostage says he’s getting text messages from Hamas. Here’s what they say,World
Relative of three hostages anxiously awaits release deal,World
What about the hostages left out of proposed release deal?,World
Elon Musk sues Media Matters over antisemitism report,World
Napoleon Bonaparte’s hat is up for auction in Paris,World
Study reveals first mammal known to mate without using penetration,World
Dan Senor: Israel’s establishment feels ‘unbelievable burden of guilt’,World
‘Lost its soul’: Campaigners decry renovation of Thailand’s iconic ‘Robot Building’,World
This massive ‘floating’ museum is straight out of science fiction,World
"Skeletons unearthed in ‘incredibly rare’ 5,000-year-old Scottish tomb",World
See inside the $50M penthouse that will crown the Waldorf Astoria Miami,World
Sydney Opera House at 50: See what Australia’s best-known building could have looked like,World
